,path,split_path,size
81,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025966037_4656f92853.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025966037_4656f92853.jpg']",1
82,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025965762_508a589cb8.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025965762_508a589cb8.jpg']",1
83,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025867041_af46a7b6a7.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025867041_af46a7b6a7.jpg']",1
84,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025965292_8c5f9bd359.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025965292_8c5f9bd359.jpg']",1
85,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025964992_5b127874db.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025964992_5b127874db.jpg']",1
86,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Pieridae/Colias/https:||live.staticflickr.com|65535|51025134203_a1218e513d.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Pieridae', 'Colias', 'https:||live.staticflickr.com|65535|51025134203_a1218e513d.jpg']",1
87,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ericales/Ericaceae/Pieris/https:||live.staticflickr.com|65535|51025963982_c876a60db4.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ericales', 'Ericaceae', 'Pieris', 'https:||live.staticflickr.com|65535|51025963982_c876a60db4.jpg']",1
88,Eukarya/Viridiplantae/Streptophyta/Magnoliopsida/Ericales/Ericaceae/Pieris/https:||live.staticflickr.com|65535|51025133253_6145ddf02d.jpg,"['Eukarya', 'Viridiplantae', 'Streptophyta', 'Magnoliopsida', 'Ericales', 'Ericaceae', 'Pieris', 'https:||live.staticflickr.com|65535|51025133253_6145ddf02d.jpg']",1
89,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Parnassius,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Parnassius']",1
90,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Parnassius/https:||live.staticflickr.com|65535|51025963562_26a6818e15.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Parnassius', 'https:||live.staticflickr.com|65535|51025963562_26a6818e15.jpg']",1
91,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Parnassius/https:||live.staticflickr.com|65535|51025132838_fda832f6aa.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Parnassius', 'https:||live.staticflickr.com|65535|51025132838_fda832f6aa.jpg']",1
92,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Parnassius/https:||live.staticflickr.com|65535|51025132438_5b2786cedc.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Parnassius', 'https:||live.staticflickr.com|65535|51025132438_5b2786cedc.jpg']",1
93,Eukarya/Metazoa/Arthropoda/Insecta/Lepidoptera/Papilionidae/Parnassius/https:||live.staticflickr.com|65535|51025962907_3b389a8619.jpg,"['Eukarya', 'Metazoa', 'Arthropoda', 'Insecta', 'Lepidoptera', 'Papilionidae', 'Parnassius', 'https:||live.staticflickr.com|65535|51025962907_3b389a8619.jpg']",1
